!CSV A.01.01
!Agilent Technologies,E8364C,MY43040422,A.09.42.22
!Agilent E8364C: A.09.42.22
!Date: Monday, February 18, 2019 10:56:52
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
21437500000,-0.033648714,-0.058042306,-1.1309769e-010,5.3941279e-010,-0.024392067,0.0022048706,-0.075016536,0.25818822
21460000000,-0.039908476,-0.053212486,4.2869747e-010,3.679575e-010,-0.02271785,0.0088717761,0.23858833,0.023903521
21482500000,-0.04384762,-0.047679901,5.2669391e-010,-2.1113794e-010,-0.019179041,0.015286583,-0.079421081,-0.28678679
21505000000,-0.042522691,-0.047205646,6.5222834e-011,-5.6697796e-010,-0.014122174,0.01950925,-0.30203786,0.048394173
21527500000,-0.039572351,-0.042803898,-4.792417e-010,-3.1859887e-010,-0.0090295821,0.023124851,0.14590335,0.23196933
21550000000,-0.041491985,-0.037077446,-4.8838633e-010,2.773996e-010,-0.0013182336,0.024337308,0.15489644,-0.21724698
21572500000,-0.044145171,-0.042060819,1.6165518e-012,5.4560412e-010,0.0050476473,0.023496889,-0.26288804,-0.13012195
21595000000,-0.048529685,-0.038264655,4.8374149e-010,2.8257161e-010,0.01121356,0.020715855,-0.1233018,0.23154072
21617500000,-0.053058069,-0.034313273,4.9909593e-010,-3.1457775e-010,0.015283789,0.018131027,0.21482055,0.038617078
21640000000,-0.058381986,-0.025388623,-6.5283265e-011,-5.8953853e-010,0.019875303,0.012029825,-0.020384019,-0.3474285
21662500000,-0.061099105,-0.021434816,-5.4783578e-010,-2.1483292e-010,0.021771098,0.007854688,-0.35114104,0.048320014
21685000000,-0.057767745,-0.011125652,-4.4388707e-010,3.8657674e-010,0.024965135,0.0016119007,0.10197417,0.30127931
21707500000,-0.054495808,-0.0024710698,1.3192769e-010,5.642517e-010,0.023363242,-0.0054356633,0.29127264,-0.21085116
21730000000,-0.048760667,0.00056857342,5.4765131e-010,1.6861036e-010,0.021073056,-0.011099024,-0.28398672,-0.31034255
21752500000,-0.044470958,0.00907127,4.4882698e-010,-4.0656226e-010,0.017831275,-0.017013382,-0.33031401,0.27480721
21775000000,-0.039961513,0.011456981,-1.8728713e-010,-6.2594901e-010,0.012407844,-0.022135265,0.3518599,0.21738023
21797500000,-0.043319944,0.01141674,-6.419909e-010,-7.5000388e-011,0.0050091469,-0.024099752,0.14391477,-0.44991985
21820000000,-0.044243507,0.010603433,-3.3746064e-010,5.1740789e-010,-0.0011791618,-0.023801211,-0.42899635,-0.15558513
21842500000,-0.045398824,0.014508401,2.8372252e-010,5.2836097e-010,-0.0072574019,-0.022952797,-0.199968,0.39022315
21865000000,-0.046288233,0.020912543,5.9048433e-010,-5.8704218e-012,-0.012811551,-0.020327294,0.50851619,0.099257395
21887500000,-0.047540676,0.027857469,2.6738453e-010,-5.1578319e-010,-0.017517226,-0.015315246,-0.0018310117,-0.57495201
21910000000,-0.037665065,0.0415533,-3.2800657e-010,-4.974508e-010,-0.020409102,-0.01144511,-0.57835197,-0.035893261
21932500000,-0.036736708,0.047309916,-6.1788147e-010,8.4193659e-011,-0.024152156,-0.0054885014,0.026986284,0.57363135
21955000000,-0.029275915,0.054368783,-1.5876922e-010,5.8757105e-010,-0.024206854,0.0017514718,0.58014506,-0.18606761
21977500000,-0.021390609,0.060138695,4.0191564e-010,3.8148593e-010,-0.022028616,0.0083688265,-0.21073343,-0.60574418
22000000000,-0.013401228,0.061565902,5.2510013e-010,-1.2374826e-010,-0.020039992,0.013538346,-0.60863274,0.20518497
22022500000,-0.011751348,0.060502291,1.7496737e-010,-5.4899707e-010,-0.016528288,0.01860697,0.27772745,0.55830175
22045000000,-0.0048436276,0.053457018,-4.4013637e-010,-4.2671583e-010,-0.01006278,0.023837997,0.55094916,-0.37565362
22067500000,-0.0015119516,0.04867664,-5.7941535e-010,2.027493e-010,-0.0034396166,0.023768853,-0.44320318,-0.55044943
22090000000,0.00074958819,0.057358786,-9.94958e-011,6.2313715e-010,0.0031117615,0.025333609,-0.57496458,0.38511407
