% Model:              negative index.PE and PM.mph
% Version:            COMSOL 4.4.0.248
% Date:               Jun 30 2014, 10:57
% Table:              Table 1 - Global Evaluation 1 (emw.S11)
% freq                                            S-parameter, 11 component (1)                     S-parameter, 21 component (1)
1.87E10                                           -0.35002346878412693+0.6445896554849622i          -0.55823257521301-0.32908120337975205i
1.88E10                                           -0.33965000846623983+0.6564146764701323i          -0.5595458309191809-0.31467620090278453i
1.89E10                                           -0.3289798852602229+0.6678519893202016i           -0.5605318724020661-0.3005129488014969i
1.9E10                                            -0.31802394991160826+0.6789277754833961i          -0.5612056775465974-0.28656645806152536i
1.91E10                                           -0.30679718498517267+0.6896292935546185i          -0.5615813303587731-0.27284817605555106i
1.92E10                                           -0.295319666547042+0.6999550860722372i            -0.5616779913698695-0.25935853714095103i
1.93E10                                           -0.28359991061793227+0.7099213343503327i          -0.5615076824411183-0.24608254698747867i
1.94E10                                           -0.2716509082924863+0.7195020875913792i           -0.5610805672515592-0.23304082845076826i
1.95E10                                           -0.25948919810432824+0.7287179715062014i          -0.5604153877011739-0.22021465047002883i
1.96E10                                           -0.2471236831322644+0.7375655086270054i           -0.5595221626344863-0.2076053699049319i
1.97E10                                           -0.23456395293765467+0.7460471179461934i          -0.5584119728056043-0.19520851098384912i
1.98E10                                           -0.22182573152883564+0.7541538127197246i          -0.5570993108754942-0.18302899477842036i
1.99E10                                           -0.20891487977944004+0.7619011151973143i          -0.5555940845214817-0.1710518199713588i
2.0E10                                            -0.19584242081656125+0.7692776416309536i          -0.5539074651209129-0.15928195356197694i
2.01E10                                           -0.18261594830870603+0.7762924402958796i          -0.5520500399737691-0.1477088980774945i
2.02E10                                           -0.16924453633244854+0.7829410532464108i          -0.5500326612485226-0.1363311068091941i
2.03E10                                           -0.15573516064430146+0.7892262795562399i          -0.5478655522763225-0.12514131358927255i
2.04E10                                           -0.1420948771985055+0.7951460969231429i           -0.5455589400064701-0.1141344544845869i
2.05E10                                           -0.12833336403192383+0.8006978092626968i          -0.5431248442122906-0.10330515628188439i
